evaler,evalee,week,rank,token,description,adjective
arivero,rohsurve,3,1,10,DESCRIPTION,ADJECTIVE
arivero,mmlele,3,2,10,DESCRIPTION,ADJECTIVE
arivero,voraj,3,3,10,DESCRIPTION,ADJECTIVE
arivero,cdingers,3,4,10,DESCRIPTION,ADJECTIVE
arivero,acsarkis,3,5,10,DESCRIPTION,ADJECTIVE
arivero,aykaranj,3,6,10,DESCRIPTION,ADJECTIVE
arivero,samvaity,3,7,10,DESCRIPTION,ADJECTIVE
arivero,yangsis,3,8,10,DESCRIPTION,ADJECTIVE
mmlele,pmpande,1,1,10,DESCRIPTION,ADJECTIVE
mmlele,bsairamr,1,2,10,DESCRIPTION,ADJECTIVE
rohsurve,yketkar,6,1,10,DESCRIPTION,ADJECTIVE
rohsurve,rnedunur,6,2,10,DESCRIPTION,ADJECTIVE
rohsurve,pmpande,6,3,10,DESCRIPTION,ADJECTIVE
rohsurve,deng4,6,4,10,DESCRIPTION,ADJECTIVE
rohsurve,nishshah,6,5,10,DESCRIPTION,ADJECTIVE
rohsurve,mmlele,6,6,10,DESCRIPTION,ADJECTIVE
rohsurve,jashjhav,6,7,10,DESCRIPTION,ADJECTIVE
rohsurve,cdingers,6,8,10,DESCRIPTION,ADJECTIVE
rohsurve,asadana,6,9,10,DESCRIPTION,ADJECTIVE
rohsurve,acsarkis,6,10,10,DESCRIPTION,ADJECTIVE
rohsurve,arivero,6,11,10,DESCRIPTION,ADJECTIVE
rohsurve,bsairamr,6,12,10,DESCRIPTION,ADJECTIVE
rohsurve,samvaity,6,13,10,DESCRIPTION,ADJECTIVE
rohsurve,siyer,6,14,10,DESCRIPTION,ADJECTIVE
rohsurve,yangsis,6,15,10,DESCRIPTION,ADJECTIVE
rohsurve,vpatani,6,16,10,DESCRIPTION,ADJECTIVE
nishshah,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
nishshah,rnedunur,5,2,10,DESCRIPTION,ADJECTIVE
nishshah,rohsurve,5,3,10,DESCRIPTION,ADJECTIVE
nishshah,deng4,5,4,10,DESCRIPTION,ADJECTIVE
nishshah,mmlele,5,5,10,DESCRIPTION,ADJECTIVE
nishshah,jaynagle,5,6,10,DESCRIPTION,ADJECTIVE
nishshah,voraj,5,7,10,DESCRIPTION,ADJECTIVE
nishshah,guzh,5,8,10,DESCRIPTION,ADJECTIVE
nishshah,cdingers,5,9,10,DESCRIPTION,ADJECTIVE
nishshah,asadana,5,10,10,DESCRIPTION,ADJECTIVE
nishshah,aykaranj,5,11,10,DESCRIPTION,ADJECTIVE
nishshah,samvaity,5,12,10,DESCRIPTION,ADJECTIVE
nishshah,siyer,5,13,10,DESCRIPTION,ADJECTIVE
nishshah,yangsis,5,14,10,DESCRIPTION,ADJECTIVE
guzh,yketkar,4,1,10,DESCRIPTION,ADJECTIVE
guzh,deng4,4,2,10,DESCRIPTION,ADJECTIVE
guzh,nishshah,4,3,10,DESCRIPTION,ADJECTIVE
guzh,jaynagle,4,4,10,DESCRIPTION,ADJECTIVE
guzh,jashjhav,4,5,10,DESCRIPTION,ADJECTIVE
guzh,harranga,4,6,10,DESCRIPTION,ADJECTIVE
guzh,asadana,4,7,10,DESCRIPTION,ADJECTIVE
guzh,acsarkis,4,8,10,DESCRIPTION,ADJECTIVE
guzh,aykaranj,4,9,10,DESCRIPTION,ADJECTIVE
guzh,bsairamr,4,10,10,DESCRIPTION,ADJECTIVE
guzh,sshivara,4,11,10,DESCRIPTION,ADJECTIVE
guzh,yangsis,4,12,10,DESCRIPTION,ADJECTIVE
guzh,vpatani,4,13,10,DESCRIPTION,ADJECTIVE
aykaranj,nishshah,2,1,10,DESCRIPTION,ADJECTIVE
aykaranj,jaynagle,2,2,10,DESCRIPTION,ADJECTIVE
aykaranj,guzh,2,3,10,DESCRIPTION,ADJECTIVE
aykaranj,asadana,2,4,10,DESCRIPTION,ADJECTIVE
aykaranj,acsarkis,2,5,10,DESCRIPTION,ADJECTIVE
aykaranj,arivero,2,6,10,DESCRIPTION,ADJECTIVE
harranga,rnedunur,6,1,10,DESCRIPTION,ADJECTIVE
harranga,pmpande,6,2,10,DESCRIPTION,ADJECTIVE
harranga,deng4,6,3,10,DESCRIPTION,ADJECTIVE
harranga,jaynagle,6,4,10,DESCRIPTION,ADJECTIVE
harranga,jashjhav,6,5,10,DESCRIPTION,ADJECTIVE
harranga,voraj,6,6,10,DESCRIPTION,ADJECTIVE
harranga,guzh,6,7,10,DESCRIPTION,ADJECTIVE
harranga,asadana,6,8,10,DESCRIPTION,ADJECTIVE
harranga,acsarkis,6,9,10,DESCRIPTION,ADJECTIVE
harranga,arivero,6,10,10,DESCRIPTION,ADJECTIVE
harranga,bsairamr,6,11,10,DESCRIPTION,ADJECTIVE
harranga,samvaity,6,12,10,DESCRIPTION,ADJECTIVE
harranga,yangsis,6,13,10,DESCRIPTION,ADJECTIVE
harranga,vpatani,6,14,10,DESCRIPTION,ADJECTIVE
sshivara,samvaity,1,1,10,DESCRIPTION,ADJECTIVE
